Equity %,Equity ($M),Phil Debt %,Phil Debt ($M),Depreciable Basis ($M),Year 1 Depreciation ($M),Year 1 Gross Tax Benefit ($M),Year 1 Net Benefit ($M),Coverage Ratio
1,1.00,34.0,34.00,89.00,22.25,10.65,10.06,10.0611
2,2.00,33.0,33.00,88.00,22.00,10.53,9.95,4.9740
3,3.00,32.0,32.00,87.00,21.75,10.41,9.83,3.2783
4,4.00,31.0,31.00,86.00,21.50,10.29,9.72,2.4305
5,5.00,30.0,30.00,85.00,21.25,10.17,9.61,1.9218
6,6.00,29.0,29.00,84.00,21.00,10.05,9.50,1.5826
7,7.00,28.0,28.00,83.00,20.75,9.93,9.38,1.3404
8,8.00,27.0,27.00,82.00,20.50,9.81,9.27,1.1587
9,9.00,26.0,26.00,81.00,20.25,9.69,9.16,1.0174
10,10.00,25.0,25.00,80.00,20.00,9.57,9.04,0.9044
11,11.00,24.0,24.00,79.00,19.75,9.45,8.93,0.8119
12,12.00,23.0,23.00,78.00,19.50,9.33,8.82,0.7348
13,13.00,22.0,22.00,77.00,19.25,9.21,8.70,0.6696
14,14.00,21.0,21.00,76.00,19.00,9.09,8.59,0.6137
15,15.00,20.0,20.00,75.00,18.75,8.97,8.48,0.5652
